Treatment,Site,Acarina,Amphipoda,Araneae,Blattodea,Coleoptera,Collembola,Dermaptera,Diotocardia,Diplura,Diptera,Formicidae,Haplotaxida,Hemiptera,Hymenoptera,Isopoda,Larvae,Lepidoptera,Polydesmida,Pseudoscorpionida,Scolopendrida,Seolifera,Soleolifera,Thysanoptera,Tricladida
Revegetated,12a,11,1,0,0,36,104,0,0,0,11,44,1,0,0,0,2,0,0,0,0,0,4,0,1
Control,1,6,0,4,1,0,294,0,0,0,4,5,0,2,0,0,2,0,0,0,0,0,0,0,0
Control,1,2,0,2,0,0,78,0,0,0,3,37,0,1,1,1,2,0,0,0,0,0,0,0,0
Control,1,10,0,0,0,1,189,1,0,0,20,2,0,4,1,0,1,0,0,0,0,0,0,0,0
Control,1,3,0,6,1,0,395,0,0,0,7,7,0,2,0,3,3,0,1,0,0,0,0,0,0
Control,1,0,0,0,1,0,137,0,0,0,4,11,0,3,0,0,1,0,0,0,0,0,2,0,0
Control,2,4,0,4,0,0,45,0,0,0,0,4,0,0,1,2,45,0,0,0,0,0,0,0,4
Control,2,2,0,1,3,1,191,1,2,0,2,53,1,0,2,3,0,0,0,0,0,0,0,0,0
Control,2,0,0,0,1,0,55,0,0,0,1,8,0,0,0,2,1,0,0,0,0,0,1,0,0
Control,2,0,0,0,0,0,162,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0
Control,2,2,0,0,0,0,24,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
